,max_rank,min_rank
0800799097,36653,1665
B075SWQJH3,23970,12972
B004FPZ470,2055974,119268
0373640102,3505232,114687
1554687586,11474573,7597580
1545419558,1770404,126819
B06ZY1DF39,595012,505
0557076765,2170727,98194
157851486X,602054,25134
1451681739,166173,6805
B00CF9F6G2,372368,26877
1600376797,1926064,97484
000721393X,1129927,67959
1586483889,845850,45242
0345521099,57795,3115
B079DPNBG7,1696803,104597
0718022076,84790,5318
1772264482,7250247,82705
0064431916,736609,53509
B00O2G04Q8,1717573,164387
B076CZTGDG,55436,381
B07BW2PYT5,11042,69
0312267177,243703,27249
0307459667,103519,1970
0765383454,1007580,95743
B078SHGTGB,1754304,95541
B01HG5WP54,501293,80278
B00B856668,1107883,87709
B07B9Z8JCN,75102,4312
1454916095,949824,19969
1426217129,178232,10769
B01ACFB80S,2437626,179664
1480189871,210894,5569
B00OZNEA72,1908318,1290088
3842384939,11512356,7621450
B01M9C1Y3S,177232,270
B00M3INE0U,433727,7034
1628725176,985545,64225
0553214861,905770,15570
B00LUCO8E6,1866232,126050
B079NCC13P,1582292,76917
0310520592,540735,10319
B078ZNWD61,125467,386
B00JBVU8ZG,277304,21943
0141332891,8821073,7645456
B071VLZMGW,1730514,1379231
B01N9B9YKO,186298,8258
1854115154,2702586,95598
0156031302,427084,19546
B06XJ9JDLZ,1392578,133696
B075SHFYB5,47013,780
B015TGKOKK,1357872,1342749
1492655325,1563609,47899
B00DFOT6T4,453526,32307
1493609270,1624875,79399
B07C7V6V15,237897,20277
B019D7DCEQ,2612209,188175
